"id","code","name","parent_id","enabled","dest"
1,"01","Generalities. Terminology. Standardization. Documentation","",1,
2,"03","Services. Company organization, management and quality. Administration. Transport. Sociology","",1,
3,"07","Natural and applied sciences","",1,
4,"11","Health care technology","",1,
5,"13","Environment. Health protection. Safety","",1,
6,"17","Metrology and measurement. Physical phenomena","",1,
7,"19","Testing","",1,
8,"21","Mechanical systems and components for general use","",1,
9,"23","Fluid systems and components for general use","",1,
10,"25","Manufacturing engineering","",1,
11,"27","Energy and heat transfer engineering","",1,
12,"29","Electrical engineering","",1,
13,"31","Electronics","",1,
14,"33","Telecommunications. Audio and video engineering","",1,
15,"35","Information technology","",1,
16,"37","Image technology","",1,
17,"39","Precision mechanics. Jewellery","",1,
18,"43","Road vehicles engineering","",1,
19,"45","Railway engineering","",1,
20,"47","Shipbuilding and marine structures","",1,
21,"49","Aircraft and space vehicle engineering","",1,
22,"53","Materials handling equipment","",1,
23,"55","Packaging and distribution of goods","",1,
24,"59","Textile and leather technology","",1,
25,"61","Clothing industry","",1,
26,"65","Agriculture","",1,
27,"67","Food technology","",1,
28,"71","Chemical technology","",1,
29,"73","Mining and minerals","",1,
30,"75","Petroleum and related technologies","",1,
31,"77","Metallurgy","",1,
32,"79","Wood technology","",1,
33,"81","Glass and ceramics industries","",1,
34,"83","Rubber and plastic industries","",1,
35,"85","Paper technology","",1,
36,"87","Paint and colour industries","",1,
37,"91","Construction materials and building","",1,
38,"93","Civil engineering","",1,
39,"95","Military affairs. Military engineering. Weapons","",1,
40,"97","Domestic and commercial equipment. Entertainment. Sports","",1,
41,"01.020","Terminology (principles and coordination)",1,1,"Including terminography"
42,"01.040","Vocabularies",1,1,
43,"01.060","Quantities and units",1,1,
44,"01.070","Colour coding",1,1,"Safety colours in the context of graphical symbols, see 01.080.10"
45,"01.075","Character symbols",1,1,
46,"01.080","Graphical symbols",1,1,
47,"01.100","Technical drawings",1,1,"Graphical symbols for use on technical drawings, see 01.080.30 
Computer-aided design, see 35.240.10"
48,"01.110","Technical product documentation",1,1,"Including rules for preparation of user guides, manuals, product specifications, etc."
49,"01.120","Standardization. General rules",1,1,"Including rules for the preparation of standards catalogues and management of technical documents"
50,"01.140","Information sciences. Publishing",1,1,"Information technology applications in information, documentation and publishing, see 35.240.30"
53,"01.040.01","Generalities. Terminology. Standardization. Documentation (Vocabularies)",42,1,
54,"01.040.03","Services. Company organization, management and quality. Administration. Transport. Sociology. (Vocabularies)",42,1,
55,"01.040.07","Natural and applied sciences (Vocabularies)",42,1,
